value,S1,S2,time(s),
42750.37881,2004,0,58.83795214,
42750.37881,2005,0,58.8698988,
42750.37881,2006,0,57.93992329,
42750.37881,2007,0,58.83989716,
42750.37881,2008,0,59.05952811,
42750.37881,2009,0,59.25992894,
42750.37881,2010,0,60.02993345,
42750.37881,2011,0,58.24989963,
42750.37881,2012,0,58.11993623,
42750.37881,2013,0,58.78989816,
42750.37881,2014,0,58.25993156,
42750.37881,2015,0,60.68218374,
42750.37881,2016,0,58.86990094,
42750.37881,2017,0,58.2999289,
42750.37881,2018,0,58.97993827,
42750.37881,2019,0,60.5299325,
42750.37881,2020,0,58.94993758,
42750.37881,2021,0,58.62992907,
42750.37881,2022,0,58.68989849,
42750.37881,2023,0,59.04992795,
42750.37881,2024,0,58.72990227,
42441.20003,2025,0,57.90211082,
42441.20003,2026,0,58.25993204,
42441.20003,2027,0,58.17105985,
42441.20003,2028,0,57.69993043,
42750.37881,2029,0,60.04989886,
42750.37881,2030,0,59.28992677,
42441.20003,2031,0,57.12994051,
42750.37881,2032,0,58.06993413,
42750.37881,2033,0,59.56990695,
42750.37881,2034,0,58.79993248,
42750.37881,2035,0,57.96993065,
42750.37881,2036,0,59.53992772,
42441.20003,2037,0,58.1299336,
42750.37881,2038,0,58.27990985,
42750.37881,2039,0,59.08994031,
42750.37881,2040,0,58.30103397,
42750.37881,2041,0,58.73993444,
42750.37881,2042,0,59.45991468,
42750.37881,2043,0,58.57986236,
42750.37881,2044,0,58.10993314,
42750.37881,2045,0,58.83990073,
42441.20003,2046,0,59.81993294,
42750.37881,2047,0,58.66993237,
42750.37881,2048,0,58.80993438,
42441.20003,2049,0,57.75052738,
42750.37881,2050,0,58.97992373,
42750.37881,2051,0,58.38993192,
42750.37881,2052,0,57.81993628,
42750.37881,2053,0,59.17990255,
42750.37881,2054,0,59.31848121,
42750.37881,2055,0,58.73993564,
42750.37881,2056,0,59.46993303,
42750.37881,2057,0,58.62993431,
42441.20003,2058,0,58.0699327,
42750.37881,2059,0,60.63986754,
42750.37881,2060,0,58.27992916,
42750.37881,2061,0,58.28992987,
42750.37881,2062,0,59.09989834,
42750.37881,2063,0,58.49993563,
42441.20003,2064,0,57.3299396,
42750.37881,2065,0,57.92992973,
42750.37881,2066,0,58.6199379,
42441.20003,2067,0,57.34104443,
42750.37881,2068,0,58.18993521,
42750.37881,2069,0,59.28049874,
42750.37881,2070,0,58.99992895,
42750.37881,2071,0,58.81992936,
42750.37881,2072,0,59.0899272,
42423.82228,2073,0,57.41993189,
42750.37881,2074,0,59.10992718,
42750.37881,2075,0,58.71993423,
42423.82228,2076,0,57.84993148,
42750.37881,2077,0,58.49989223,
42750.37881,2078,0,59.45987797,
42750.37881,2079,0,58.31993365,
42750.37881,2080,0,58.33049703,
42750.37881,2081,0,59.20990634,
42750.37881,2082,0,58.69993734,
42750.37881,2083,0,58.65986943,
42750.37881,2084,0,60.03992748,
42750.37881,2085,0,58.12094069,
42750.37881,2086,0,60.599895,
42750.37881,2087,0,59.34990191,
42750.37881,2088,0,58.82989836,
42750.37881,2089,0,58.20993471,
42750.37881,2090,0,62.82990336,
42750.37881,2091,0,58.06990099,
42750.37881,2092,0,57.85993743,
42750.37881,2093,0,59.48993444,
42750.37881,2094,0,58.57993245,
42750.37881,2095,0,58.17993879,
42750.37881,2096,0,59.08993411,
42750.37881,2097,0,58.2399013,
42750.37881,2098,0,58.83275127,
42750.37881,2099,0,60.08025742,
42750.37881,2100,0,58.82051086,
42750.37881,2101,0,58.43993545,
42750.37881,2102,0,61.93992352,
42750.37881,2103,0,58.67270827,
42750.37881,2104,0,58.69579554,
42750.37881,2105,0,59.46989918,
42750.37881,2106,0,59.02993202,
42750.37881,2107,0,59.28992867,
42750.37881,2108,0,59.519871,
